Type;Year;URL;Contact;Address;Phone;Fax;Contact2
Concrete contractors;2009;http://www.4mcm.com;Midwest Concrete Materials;Mr. John Pendry,Mr. John Eichman,Mr. Rob Eichman,Mr. Matt Eichman;3645 E. 23rd St.,Lawrence, KS  66046;(785) 843-1688;Fax (785) 843-1783;Mr. John Pendry,Mr. John Eichman,Mr. Rob Eichman,Mr. Matt Eichman
Concrete contractors;1976;http://www.pennysconcrete.com;Penny's Concrete, Inc.;Mr. William J. Penny;23400 W. 82nd St.,Shawnee Mission, KS  66227;(913) 441-8781;Fax (913) 441-1830;Mr. William J. Penny
Concrete contractors;2010;http://www.sunflowerpaving.com;Sunflower Paving, Inc.;Mr. Jeff Engroff,Mr. Bernie Kennedy;1457 N. 1823 Rd.,Lawrence, KS  66044;(785) 856-4590;Fax (785) 856-4594;Mr. Jeff Engroff,Mr. Bernie Kennedy
Light bulbs & tubes;2014;;;Mr. Rex Phillips,Mr. Clint Phillips;4651 W. 6th St., Ste. 104,Lawrence, KS  66049;(785) 312-9300;Fax (785) 331-2051;Mr. Rex Phillips,Mr. Clint Phillips
Light bulbs & tubes;2011;http://www.ledsource.com/lawrence004;LED Source;Mr. Adam Ritchie,Mr. Clint Bradley;10 E. 9th St., Ste. B,Lawrence, KS  66044;(785) 856-9533;Fax (785) 856-9535;Mr. Adam Ritchie,Mr. Clint Bradley
Business financing consultants;1997;http://www.wakarusavalley.org;Wakarusa Valley Development, Inc.;Mr. Troy Roberts;120 E. 9th St., Ste. 202,P.O. Box 367,Lawrence, KS  66044;(785) 749-7600;Fax (785) 749-7601;Mr. Troy Roberts
Physical therapy;2000;http://www.lawrencetherapyservices.com;Lawrence Therapy Services, L.L.C.;Ms. Laura Bennetts;2200 Harvard Rd., Ste. 101,Lawrence, KS  66049;(785) 842-0656;Fax (785) 842-0071;Ms. Laura Bennetts
Physical therapy;1993;http://www.therapyworkskansas.com;TherapyWorks, P.A.;Ms. Cindy Johnson;1311 Wakarusa Dr., Ste. 1000,Lawrence, KS  66049;(785) 749-1300;Fax (785) 749-4746;Ms. Cindy Johnson
Retired;1978;;;5913 Longleaf Dr.,Lawrence, KS  66049;(785) 842-9973
Retired;2007;;;Frank J. Becker;1441 Wakarusa Dr., Ste. 200,Lawrence, KS  66049;(785) 842-9690;Fax (785) 841-8016;Frank J. Becker
Retired;2012;;;5605 Villa Dr.,Lawrence, KS  66047;(785) 760-7892
Retired;1993;;;5722 Villa Dr.,Lawrence, KS  66047;(785) 843-3829
Retired;2012;;;Mr. Glen Davis;2708 Lockridge Dr.,Lawrence, KS  66047;(785) 331-5800;Mr. Glen Davis
Retired;1992;;;P.O. Box 3489,Lawrence, KS  66046;(785) 842-5155
Retired;1984;;;Ms. Marie Galluzzi-Potter;1109 Sturbridge Cir.,Lawrence, KS  66049;(785) 843-1176;Fax (785) 842-1498;Ms. Marie Galluzzi-Potter
Retired;1950;;;10 Westwood Rd.,Lawrence, KS  66044;(785) 843-6191
Retired;2003;;;603 Ohio St.,Lawrence, KS  66044;(785) 843-9504
Retired;1976;;;Mr. Tom Groene;1114 N. 1723 Rd.,Lawrence, KS  66049;(785) 842-1417;Mr. Tom Groene
Retired;2012;http://www.linkedin.com/in/ronguerin;Mr. Ron Guerin, PMP;321 Woodlawn Dr.,Lawrence, KS  66049;(913) 638-4514
Retired;1982;;;James R. Henry Ed. D.;4400 Turnberry Dr.,Lawrence, KS  66047;(785) 842-6879;Fax (785) 842-6879;James R. Henry Ed. D.
Retired;1996;;;Mr. Russell Hilton;1921 Carmel Dr.,Lawrence, KS  66047;(785) 749-4799;Mr. Russell Hilton
Retired;1987;;;Mr. Monte Johnson;2100 Greenbrier Dr.,P.O. Box 3829,Lawrence, KS  66046;(785) 843-5255;Fax (785) 843-5667;Mr. Monte Johnson
Retired;1899;;;515 E. 1550 Rd.,Baldwin City, KS  66006;(785) 594-6920
Retired;1976;;;Mr. Bernard Judge;3209 Longhorn Dr.,Lawrence, KS  66049;(785) 842-5463;Mr. Bernard Judge
Retired;2014;;;Ms. Larissa Long;4712 Carmel Ct.,Lawrence, KS  66047;(785) 842-9057;Ms. Larissa Long
Retired;1987;;;Ms. Grace Angel Marion;321 Stratton Dr.,Eudora, KS  66025;(785) 542-3338;Ms. Grace Angel Marion
Retired;1970;;;3029 Wellington Ct.,Lawrence, KS  66049;(785) 842-6716
Retired;1973;;;1515 Stratford Rd.,Lawrence, KS  66044;(785) 842-7181
Retired;1991;;;1501 Inverness Dr.,Lawrence, KS  66047;(785) 760-7292
Retired;1964;;;1811 N. 1500 Rd.,Lawrence, KS  66046;(785) 843-3192
Retired;2001;;;4417 Nicklaus Dr.,Lawrence, KS  66047;(785) 331-2042
Retired;2009;;;2101 Louisiana St.,Lawrence, KS  66046;(785) 843-0274
Retired;1976;;;Mr. Jim Sheets;P.O. Box 4346,Lawrence, KS  66046;Mr. Jim Sheets
Retired;2012;;;4405 Nicklaus Dr.,Lawrence, KS  66047;(785) 865-8311
Retired;2008;;;2216 Massachusetts St.,Lawrence, KS  66046;(785) 842-3050
Retired;1996;;;213 Summertree Ln.,Lawrence, KS  66049;(785) 842-7815
Retired;2012;;;4513 Turnberry Dr.,Lawrence, KS  66047;(785) 841-8028
Counseling services;2012;http://www.socialperspective.org;Social Perspective, LLC;Ms. D. Sue Vernon Ph.D.,Ms. Kristin Vernon LMSW;708 W. 9th St., Ste. 106,Lawrence, KS  66044;(785) 371-6554;Fax (785) 856-4425;Ms. D. Sue Vernon Ph.D.,Ms. Kristin Vernon LMSW
Acupuncture;2009;http://www.ginahalseyacupuncture.com;Gina Halsey Acupuncture & Chinese Herbology;Gina Halsey, L.Ac. (CA), Dipl. O.M., Ac. & C.H.;1112 W. 6th St., Ste. 208,Lawrence, KS  66044;(785) 856-6789;Fax (785) 856-6789;Gina Halsey, L.Ac. (CA), Dipl. O.M., Ac. & C.H.
Employee benefits &/or health insurance;2012;http://www.benefitbrokersllc.com;Benefit Brokers LLC;Mr. Gerry Hollis;10551 Barkley St., Ste. 510,Overland Park, KS  66212;(913) 649-0073;Fax (913) 649-0235;Mr. Gerry Hollis
Employee benefits &/or health insurance;1976;http://www.cekinsurance.com;CEK Insurance, Inc.;Ms. Tracy Cullers,Mr. Tom Karasek,Mr. Marty Yost,Mike Willoughby,Mr. Mark A Buhler;1011 Westdale Rd.,Lawrence, KS  66049;(785) 843-2772;Fax (785) 843-1583;Ms. Tracy Cullers,Mr. Tom Karasek,Mr. Marty Yost,Mike Willoughby,Mr. Mark A Buhler
Employee benefits &/or health insurance;2013;http://www.hotandsunnie.info;LegalShield/Ralph & Sunnie Planthold, Independent Agents;Mr. Ralph F. Planthold,Ms. Sunnie J. Planthold;2200 W 26th St, Apt C15,Lawrence, KS  66047;(813) 244-9733;Fax (785) 843-9372;Mr. Ralph F. Planthold,Ms. Sunnie J. Planthold
Publishers;2013;http://www.lawrencebusinessmagazine.com;Lawrence Business Magazine;Meredithe McCormick;740 New Hampshire St., Ste. 110,Lawrence, KS  66044;(785) 856-1990;Fax (785) 856-1995;Meredithe McCormick
Coffee services;2013;http://www.greenstonecoffee.com;Greenstone Coffee Roasters;Mr. Michael Schaetzel,Mr. Brandon W. Rose;1745 Indiana St.,Lawrence, KS  66044;(785) 760-5388;Mr. Michael Schaetzel,Mr. Brandon W. Rose
Airport consultants;2004;http://www.adgairports.com;Airport Development Group, Inc.;Mr. Rick Bryant;1726 W. 27th Terr.,P. O. Box 3869,Lawrence, KS  66046;(785) 856-2327;Fax (785) 856-2327;Mr. Rick Bryant
Woodworking Carpentry;2013;;;Mr. Dwight C. Purvis,Ms. Kimberly S. Purvis;1167 E. 1200 Rd.,Lawrence, KS  66047;(785) 393-2651;Mr. Dwight C. Purvis,Ms. Kimberly S. Purvis
Diving Instruction, equipment, & supplies;2004;http://www.scuba-shack.com;Scuba Shack;Mr. Dave Bach;1045 New Jersey St.,Lawrence, KS  66044;(785) 331-3483;Fax (785) 842-2773;Mr. Dave Bach
Pre Schools;2003;;;Ms. Carolyn Kelly;925 Vermont St.,Lawrence, KS  66047;(785) 842-2515;Fax (785) 842-2087;Ms. Carolyn Kelly
Hobby stores;2007;http://www.yarnbarn-ks.com;Yarn Barn of Kansas, Inc.;Mr. Jim Bateman,Mrs. Susan Bateman;930 Massachusetts St.,Lawrence, KS  66044;(785) 842-4333;Fax (785) 842-0794;Mr. Jim Bateman,Mrs. Susan Bateman
Dental Periodontists;1987;http://www.edwardsandwilson.com;Edwards & Wilson Periodontics P.A.;Dr. Mark Edwards,Dr. Angela Wilson;4830 Quail Crest Pl.,Lawrence, KS  66049;(785) 843-4076;Fax (785) 843-6127;Dr. Mark Edwards,Dr. Angela Wilson
Dental Periodontists;1997;http://hambletondds.com;Hambleton, D.D.S., M.S., Jeffrey C.;1440 Wakarusa Dr., Ste. 300,Lawrence, KS  66049;(785) 841-1188;Fax (785) 841-1469
Travel agencies;1998;http://www.discover.aaa.com;AAA Allied Group;Ms. Linda Stroud,Mr. James Hanni,Ms. Miranda Souvannavong-Super;3545 S.W. 6th St.,Topeka, KS  66606;(785) 438-6552;Fax (785) 843-3400;Ms. Linda Stroud,Mr. James Hanni,Ms. Miranda Souvannavong-Super
Travel agencies;1995;http://www.travellersinc.com;Travellers, Inc.;Mr. Kent Houk;831 Massachusetts St.,Lawrence, KS  66044;(785) 749-0700;Fax (785) 841-8208;Mr. Kent Houk
Glass Automobile;1973;http://www.kennedyglass.com;Kennedy Glass, Inc.;Mr. Marty Kennedy;730 New Jersey St.,P.O. Box 681,Lawrence, KS  66044;(785) 843-4416;Fax (785) 843-6772;Mr. Marty Kennedy
Professional sports;2012;http://www.sportingkc.com;Sporting Kansas City;Mr. Todd Adams;One Sporting Way,Kansas City, KS  66111;(913) 387-3448;Mr. Todd Adams
Rental services;2012;http://www.celebratekc.com;Celebration Party Rentals, Inc.;Mrs. Andrea Estevez,Ms. Danelle Fanshier;500 Locust St.,Lawrence, KS  66044;(785) 856-3050;Mrs. Andrea Estevez,Ms. Danelle Fanshier
Rental services;1992;http://www.renttoowncenter.com;Triad Leasing, LLC;Mr. Shaun Rush;P.O. Box 3798,Lawrence, KS  66046;(785) 842-8505;Fax (785) 749-1401;Mr. Shaun Rush
Manufacturers Mail order/retail;1977;http://www.waxmancandles.com;Waxman Candles;Mr. Robert Werts;609 Massachusetts St.,Lawrence, KS  66044;(785) 843-8593;Fax (785) 843-7438;Mr. Robert Werts
Home care services Child & adult;2011;http://www.ahelpinghandhc.com;A Helping Hand Home Health Care, LLC;Ms. Lori Yocum;1425 Oread West Dr.,Lawrence, KS  66047;(785) 856-0192;Fax (785) 856-0937;Ms. Lori Yocum
Home care services Child & adult;2013;http://www.benefitsofhome.com;Benefits of Home - Senior Care;Chris Fay,Ms. Kisha Steineger;3300 Clinton Pkwy. Ct., Ste. 205,Lawrence, KS  66047;(785) 727-1816;Fax (913) 627-9240;Chris Fay,Ms. Kisha Steineger
Home care services Child & adult;2010;;;Dr. Ed Schulte;4430 Bauer Farm Dr.,Lawrence, KS  66049;(785) 749-0300;Fax (785) 354-9582;Dr. Ed Schulte
Home care services Child & adult;2009;http://www.homeinstead.com/584;Home Instead Senior Care;Ms. Gail Shaheed;1201 Wakarusa Drive, Bldg. E, Ste. 2-112,Lawrence, KS  66049;(785) 856-8181;Fax (785) 246-5316;Ms. Gail Shaheed
Home care services Child & adult;1997;http://www.trinityinhomecare.com;Trinity In-Home Care, Inc.;Ms. Megan Poindexter,Mr. Scott Criqui;2201 W. 25th St., Ste. Q,Lawrence, KS  66047;(785) 842-3159;Fax (785) 842-7061;Ms. Megan Poindexter,Mr. Scott Criqui
Photobooth rental;2010;http://www.saycheezphotobooth.com;Say Cheez Photobooth;Mr. Bryan O'Connor;2231 Vail Way,Lawrence, KS  66047;(785) 760-6387;Mr. Bryan O'Connor
Tire dealers;2011;http://www.bigotires.com;Big O Tires;Mr. Cory Mitchell,Mr. Dutch Tryon;4661 W. 6th St.,Lawrence, KS  66049;(785) 830-9090;Fax (785) 830-9254;Mr. Cory Mitchell,Mr. Dutch Tryon
Banquet/rental facilities;2013;http://www.cidergallery.com;Cider Gallery;Mr. Tony Krsnich;810 Pennsylvania St.,Lawrence, KS  66044;Mr. Tony Krsnich
Banquet/rental facilities;2009;http://www.thegranada.com;The Granada;Mr. Mike Logan;1020 Massachusetts St.,Lawrence, KS  66044;(785) 842-1390;Mr. Mike Logan
Banquet/rental facilities;2011;http://www.wbanquet.com;The W Banquet Hall;Ms. Teresa Wolff,Mr. Matt Wolff;704 Connecticut St.,Lawrence, KS  66044;(785) 764-5343;Ms. Teresa Wolff,Mr. Matt Wolff
Banquet/rental facilities;2006;http://royalcrestbowl.com/1.asp;Wayne & Larry's/PINS, Inc.;Mr. Wayne Martin,Mr. Larry Borton;933 Iowa St.,Lawrence, KS  66044;(785) 856-7170;Fax (785) 830-8921;Mr. Wayne Martin,Mr. Larry Borton
Re Roofs and repairs;2009;http://www.alpharoofers.com;Alpha Roofing;Mr. Darin Lutz,Ms. Yvonne Ruder;2736 Oregon St.,Lawrence, KS  66046;(785) 842-2676;Fax (785) 841-7663;Mr. Darin Lutz,Ms. Yvonne Ruder
Candy stores;2004;http://www.coldstone.com;Cold Stone Creamery/Rocky Mountain Chocolate Factory;Mrs. Maha Emerly,Mr. Allan Emerly;647 Massachusetts St., Ste. 101B,Lawrence, KS  66044;(785) 843-0990;Mrs. Maha Emerly,Mr. Allan Emerly
Farm machinery equipment;2010;http://www.heritagetractor.com;Heritage Tractor;Mr. Tim Deneke;1110 E. 23rd St.,Lawrence, KS  66046;(785) 843-8444;Fax (785) 843-0107;Mr. Tim Deneke
Wedding & reunion facilities;2007;http://www.alvamar.com;Alvamar Country Club;Mr. Bryan Minnis,Ms. Kursten Minnis,Mr. Eric Magnuson,Ms. Jen Nuessen;1809 Crossgate Dr.,Lawrence, KS  66047;(785) 842-2929;Fax (785) 842-0105;Mr. Bryan Minnis,Ms. Kursten Minnis,Mr. Eric Magnuson,Ms. Jen Nuessen
Wedding & reunion facilities;2010;http://www.castletearoom.com;Castle Tea Room;Mr. Bruce Roberts,Ms. Lindsay Ibarra;1307 Massachusetts St.,Lawrence, KS  66044;(785) 843-1151;Mr. Bruce Roberts,Ms. Lindsay Ibarra
Wedding & reunion facilities;1986;http://www.libertyhall.net;Liberty Hall, Inc.;Ms. Susan Millstein,Mr. Dean Edington;642 Massachusetts St.,Lawrence, KS  66044;(785) 749-1972;Fax (785) 749-2662;Ms. Susan Millstein,Mr. Dean Edington
Wedding & reunion facilities;2011;http://www.wbanquet.com;The W Banquet Hall;Ms. Teresa Wolff,Mr. Matt Wolff;704 Connecticut St.,Lawrence, KS  66044;(785) 764-5343;Ms. Teresa Wolff,Mr. Matt Wolff
Auction;2012;;;Mr. Mark Elston;1216 N. 400 Rd.,Baldwin City, KS  66006;(785) 218-7851;Mr. Mark Elston
Florists;1993;http://www.hy-vee.com;Hy-Vee Food & Drug Store;Mrs. Lori Howell,Ms. Tera Jo Brown,Mr. Curtis Strum;3504 Clinton Pkwy.,Lawrence, KS  66047;(785) 832-0044;Fax (785) 832-0612;Mrs. Lori Howell,Ms. Tera Jo Brown,Mr. Curtis Strum
Florists;1954;http://www.owensflowershop.net;Owens Flower Shop, Inc.;Ms. Kristin Spacek;846 Indiana St.,Lawrence, KS  66044;(785) 843-6111;Ms. Kristin Spacek
Ice cream stores;2004;http://www.coldstone.com;Cold Stone Creamery/Rocky Mountain Chocolate Factory;Mrs. Maha Emerly,Mr. Allan Emerly;647 Massachusetts St., Ste. 101B,Lawrence, KS  66044;(785) 843-0990;Mrs. Maha Emerly,Mr. Allan Emerly
Ice cream stores;2012;https://www.facebook.com/TCBYandMrs.FieldsLawrence;TCBY/Mrs. Field's;Mr. Ed Forman;845 Massachusetts St.,Lawrence, KS  66044;(785) 856-6440;Fax (785) 246-5338;Mr. Ed Forman
Flooring contractor & retailer;2010;http://www.artisanfloorcompany.com;Artisan Floor Company;Mr. Duane Dorn;3507 W. 5th Terr.,Lawrence, KS  66049;(785) 691-6117;Fax (785) 594-3958;Mr. Duane Dorn
Dance studios;2007;http://www.lawrencedazzlers.com;Dazzlers Christian Dance;Cindy Herington;925 Iowa St.,Lawrence, KS  66044;(785) 749-2251;Cindy Herington
Appliance Repair & service;1976;http://www.blackhillsenergy.com;Black Hills Energy;Mr. Chuck Hoag,Mr. Tommy Johnson,Ms. Lezli Root,Mr. Wes Ashton,Mr. Steve Hanna,Mr. Gabe Schlickau,Ms. Monique Pope;601 N. Iowa St.,Lawrence, KS  66044;(800) 303-0752;Fax (785) 832-3901;Mr. Chuck Hoag,Mr. Tommy Johnson,Ms. Lezli Root,Mr. Wes Ashton,Mr. Steve Hanna,Mr. Gabe Schlickau,Ms. Monique Pope
Appliance Repair & service;2013;http://www.stonebackappliance.com;Stoneback Appliance, Inc.;Mr. Andy Vigna;925 Iowa St, Ste. A,Lawrence, KS  66044;(785) 843-4170;Fax (785) 843-1021;Mr. Andy Vigna
Fire Safety equipment sales & service;1998;;;Mr. Raymond Bellinger;1400 E. 24th St., Ste. B,Lawrence, KS  66046;(785) 832-0000;Fax (785) 832-1930;Mr. Raymond Bellinger
Health & wellness;2007;http://www.channelsofhealing.com;Channels of Healing;Sabrina Channel,Mr. Jason Brotbeck;2201 W. 25th St., Ste. H,Lawrence, KS  66047;(785) 856-4433;Sabrina Channel,Mr. Jason Brotbeck
Health & wellness;2009;http://www.ginahalseyacupuncture.com;Gina Halsey Acupuncture & Chinese Herbology;Gina Halsey, L.Ac. (CA), Dipl. O.M., Ac. & C.H.;1112 W. 6th St., Ste. 208,Lawrence, KS  66044;(785) 856-6789;Fax (785) 856-6789;Gina Halsey, L.Ac. (CA), Dipl. O.M., Ac. & C.H.
Health & wellness;2013;http://www.heartlandhealth.org;Heartland Community Health Center;Jon Stewart,Mr. Daniel Purdom M.D.;1 Riverfront Plaza, Ste. 100,Lawrence, KS  66044;(785) 841-7297;Fax (785) 856-0375;Jon Stewart,Mr. Daniel Purdom M.D.
Health & wellness;2013;http://www.inshapemd.com;InShapeMD;Mr. Trey Strecker;3511 Clinton Pl.,Lawrence, KS  66047;(785) 856-2162;Mr. Trey Strecker
Health & wellness;2014;http://www.minuteclinic.com;Minute Clinic @ CVS;Ms. Valerie Jenek,Ms. Anna Buckley;2300 Iowa St.,Lawrence, KS  66046;(866) 389-2727;Fax (785) 843-0034;Ms. Valerie Jenek,Ms. Anna Buckley
Health & wellness;2011;http://www.neucare.net;NeuCare Family Medicine;Dr. W. Ryan Neuhofel,Dr. Andi Neuhofel,Ms. Hannah Cooper R.N.;346 Maine St.,Lawrence, KS  66044;(785) 727-4131;Dr. W. Ryan Neuhofel,Dr. Andi Neuhofel,Ms. Hannah Cooper R.N.
Health & wellness;2013;http://www.tiscpain.com;Therapeutic Injection Service Center, L.L.C.;Jeff Glasgow,Ms. Kerry Glasgow;1201 Wakarusa Dr.,Lawrence, KS  66049;(785) 856-8472;Fax (785) 856-6171;Jeff Glasgow,Ms. Kerry Glasgow
Screenprinting;2009;http://www.facebook.com/acmelawrence;ACME;Mrs. Shannon Jones;847 Massachusetts St.,Lawrence, KS  66044;(785) 832-2263;Mrs. Shannon Jones
Banks;2000;http://www.capcitybank.com;Capital City Bank;Mr. Nathan Oehlert,Ms. Kristen Salmans;4000 W. 6th St.,Lawrence, KS  66049;(785) 830-8400;Fax (785) 830-8063;Mr. Nathan Oehlert,Ms. Kristen Salmans
Banks;2005;http://www.capcitybank.com;Capital City Bank;Mr. Mark Gonzales,Ms. Diana Deutsch,Mr. Bill Altman,Mr. Jeff Schuler,Mr. Nathan Oehlert,Mr. Ryan Othmer;740 New Hampshire St., Ste. 101,Lawrence, KS  66044;(785) 330-1200;Fax (785) 330-1209;Mr. Mark Gonzales,Ms. Diana Deutsch,Mr. Bill Altman,Mr. Jeff Schuler,Mr. Nathan Oehlert,Mr. Ryan Othmer
Banks;2000;http://www.capfed.com;Capitol Federal Savings Bank;Ms. Jennifer Morgison;2865 S.W. Wanamaker Rd.,Topeka, KS  66614;(785) 270-6017;Fax (785) 272-3063;Ms. Jennifer Morgison
Banks;1965;http://www.capfed.com;Capitol Federal Savings Bank;Mr. Jim Zimmerman;P.O. Box 3505,Topeka, KS  66601;(785) 231-6372;Fax (785) 231-6264;Mr. Jim Zimmerman
Banks;1965;http://www.capfed.com;Capitol Federal Savings Bank;Ms. Susan Parscal,Mr. Barent Raye;1025 Iowa St.,P.O. Box 525,Lawrence, KS  66044;(785) 749-9000;Fax (785) 749-9065;Ms. Susan Parscal,Mr. Barent Raye
Banks;1987;http://www.capfed.com;Capitol Federal Savings Bank;Ms. Jaime Gillman,Ms. Deborah Johnston;1046 Vermont St.,P.O. Box 525,Lawrence, KS  66044;(785) 749-9100;Fax (785) 749-9110;Ms. Jaime Gillman,Ms. Deborah Johnston
Banks;1987;http://www.capfed.com;Capitol Federal Savings Bank;Katherine Caughey;2901 S. Kansas Ave.,Topeka, KS  66611;(785) 235-1341;Katherine Caughey
Banks;1965;http://www.capfed.com;Capitol Federal Savings Bank;Mr. Frank H. Wright IV;1112 Williamsburg Pl.,Lawrence, KS  66049;(785) 235-1341;Fax (785) 231-6364;Mr. Frank H. Wright IV
Banks;2007;http://www.capfed.com;Capitol Federal Savings Bank;Gary Turpin;4701 W. 6th St.,P.O. Box 525,Lawrence, KS  66044;(785) 749-5155;Gary Turpin
Banks;2007;http://www.capfed.com;Capitol Federal Savings Bank;Ms. Jessica Stoll,Ms. Katherine Caughey,Mr. Phil Whalen;1026 Westdale Rd. (66049-2637),P.O. Box 525,Lawrence, KS  66044;(785) 749-9054;Ms. Jessica Stoll,Ms. Katherine Caughey,Mr. Phil Whalen
Banks;2007;http://www.centralnational.com;Central National Bank;Mr. Nick Knipp;Wal-Mart Supercenter,3300 Iowa St.,Lawrence, KS  66046;(785) 842-3520;Fax (785) 842-1995;Mr. Nick Knipp
Banks;1995;http://www.centralnational.com;Central National Bank;Jay Smith,Ms. Kindal Ware,Ms. Amber Luckie;3140 Nieder Rd.,Lawrence, KS  66047;(785) 838-1960;Fax (785) 838-1965;Jay Smith,Ms. Kindal Ware,Ms. Amber Luckie
Banks;1998;http://www.centralnational.com;Central National Bank;Ms. Stephanie Rasys,Ms. Amanda Rolfs;711 Wakarusa Dr.,Lawrence, KS  66049;(785) 838-1893;Fax (785) 838-1899;Ms. Stephanie Rasys,Ms. Amanda Rolfs
Banks;1995;http://www.centralnational.com;Central National Bank;Mr. Aaron Urban;603 W. 9th St.,Lawrence, KS  66044;(785) 838-1970;Fax (785) 749-1414;Mr. Aaron Urban
Banks;1899;http://www.commercebank.com;Commerce Bank;Ms. Jennifer Cook;1301 Jayhawk Blvd., Rm. 444,Lawrence, KS  66045;(785) 864-5846;Fax (785) 864-0333;Ms. Jennifer Cook
Banks;1899;http://www.commercebank.com;Commerce Bank;Ms. Lisa O'Neill;1015 W. 23rd St.,Lawrence, KS  66046;(785) 865-4790;Fax (785) 832-8251;Ms. Lisa O'Neill
Banks;1996;http://www.commercebank.com;Commerce Bank;Ms. Cathy Miller,Mr. Mark Heider,Mr. Rob Gillespie;1500 Wakarusa Dr.,Lawrence, KS  66047;(785) 865-4770;Fax (785) 865-4745;Ms. Cathy Miller,Mr. Mark Heider,Mr. Rob Gillespie
Banks;1996;http://www.commercebank.com;Commerce Bank;Ms. Lisa O'Neill;Dillons Branch,3000 W. 6th St.,Lawrence, KS  66049;(785) 865-4780;Fax (785) 832-9584;Ms. Lisa O'Neill
Banks;1975;http://www.commercebank.com;Commerce Bank;Christian Moulton;955 Iowa St.,Lawrence, KS  66044;785-865-4722;Fax (785) 865-4773;Christian Moulton
Banks;1999;http://www.cornerbanks.com;CornerBank, N.A.;Barbara Braa,Ms. Shelby Lathrom;1201 Wakarusa Dr., Ste. B2,Lawrence, KS  66049;(785) 865-1533;Fax (785) 865-3817;Barbara Braa,Ms. Shelby Lathrom
Banks;2001;http://www.cornerbanks.com;CornerBank, N.A.;Ms. Barbara Braa;1201 Wakarusa Dr., Ste. B2,Lawrence, KS  66049;(785) 865-1533;Fax (785) 865-3817;Ms. Barbara Braa
Banks;2005;http://www.douglascountybank.com;Douglas County Bank - 6th and Folks Branch;Mr. Doug Gaston,Michelle Jennings;4340 W. 6th St.,P.O. Box 429 (66044-0429),Lawrence, KS  66049;(785) 865-7630;Fax (785) 865-1025;Mr. Doug Gaston,Michelle Jennings
Banks;2005;http://www.douglascountybank.com;Douglas County Bank - Brandon Woods Branch;1501 Inverness Dr.,Lawrence, KS  66047;(785) 865-1022
Banks;1952;http://www.douglascountybank.com;Douglas County Bank - Downtown;Mr. Pat Slabaugh,Ms. Gina Baun,Ms. Mary Grob,Ms. Judy Dinges-Mulford,Ms. Danette Umholtz,Ms. Peggy Leslie,Mr. Sean Buffum,Ms. Lisa Stuhlman,Mr. Ernesto Hodison,Ms. Debbie Bott,Mr. Ted Haggart,Ms. Mary McKenzie,Mr. Mike Davies,Mr. Michael Carlisle,Mr. Tim Metz,Ms. Becca Booth;300 W. 9th St.,P.O. Box 429,Lawrence, KS  66044;(785) 865-1000;Fax (785) 865-1079;Mr. Pat Slabaugh,Ms. Gina Baun,Ms. Mary Grob,Ms. Judy Dinges-Mulford,Ms. Danette Umholtz,Ms. Peggy Leslie,Mr. Sean Buffum,Ms. Lisa Stuhlman,Mr. Ernesto Hodison,Ms. Debbie Bott,Mr. Ted Haggart,Ms. Mary McKenzie,Mr. Mike Davies,Mr. Michael Carlisle,Mr. Tim Metz,Ms. Becca Booth
Banks;2005;http://www.douglascountybank.com;Douglas County Bank - Eudora Branch;1402 Church St.,Eudora, KS  66025;(785) 865-7676;Fax (785) 865-7629
Banks;2003;http://www.douglascountybank.com;Douglas County Bank - Malls Branch;711 W. 23rd St.,Lawrence, KS  66046;(785) 865-1069;Fax (785) 865-1091
Banks;2005;http://www.douglascountybank.com;Douglas County Bank - Orchards Branch;1444 Kasold Dr.,Lawrence, KS  66044;(785) 865-1017;Fax (785) 865-1019
Banks;2002;http://www.douglascountybank.com;Douglas County Bank - South Iowa Branch;3101 Iowa St.,Lawrence, KS  66046;(785) 865-7610;Fax (785) 865-7619
Banks;1991;http://www.emprisebank.com;Emprise Bank;Ms. Cynthia J. Yulich,Ms. Ranelle Fischer,Mr. Larry Chance,Ms Rhonda Scott;1121 Wakarusa Dr.,P.O. Box 3466,Lawrence, KS  66049;(785) 838-2001;Fax (785) 838-2024;Ms. Cynthia J. Yulich,Ms. Ranelle Fischer,Mr. Larry Chance,Ms Rhonda Scott
Banks;1991;http://www.emprisebank.com;Emprise Bank;Ms. Coni Foulke;2435 Iowa St.,P.O. Box 3466,Lawrence, KS  66046;(785) 838-2000;Fax (785) 838-2020;Ms. Coni Foulke
Banks;2006;http://www.equitybank.com;Equity Bank;Mr. Brent Lathrom;33485 Lexington Ave.,DeSoto, KS  66018;(913) 583-3222;Fax (913) 583-3266;Mr. Brent Lathrom
Banks;1997;http://www.firststateks.com;First State Bank & Trust of Lawrence;Ms. Vickie R. Randel,Ms. Megan Richardson,Mr. Francisco Lemus,Travis Prosser;609 Vermont St. (66044-2251),P.O. Box 0701,Lawrence, KS  66044;(785) 749-0400;Fax (785) 749-4144;Ms. Vickie R. Randel,Ms. Megan Richardson,Mr. Francisco Lemus,Travis Prosser
Banks;2000;http://www.firststateks.com;First State Bank & Trust of Lawrence;Jessica Wollesen;3901 W. 6th St.,Lawrence, KS  66049;(785) 749-0400;Fax (785) 843-3581;Jessica Wollesen
